"X","place_of_purchase","port_arrival","n_arrived","lon_start","lat_start","lon_end","lat_end"
1,"Accra","Americas",1,-0.1869644,5.6037168,-105.2551187,54.5259614
2,"Accra","Bahia",468,-0.1869644,5.6037168,-117.2470564,32.7722229
3,"Accra","Barbados",133,-0.1869644,5.6037168,-59.543198,13.193887
4,"Accra","Buenos Aires",1,-0.1869644,5.6037168,-58.3815591,-34.6036844
5,"Accra","Cap Francais",2571,-0.1869644,5.6037168,-72.2067681,19.7370362
6,"Accra","Curacao",1573,-0.1869644,5.6037168,-68.99002,12.16957
7,"Accra","Demerara",1304,-0.1869644,5.6037168,-80.2411779,26.1275852
8,"Accra","Essequibo",151,-0.1869644,5.6037168,-58.5116863,4.2591814
9,"Accra","Havana",873,-0.1869644,5.6037168,-82.3665956,23.1135925
10,"Accra","Jamaica",70,-0.1869644,5.6037168,-77.297508,18.109581
11,"Accra","Kingston",1334,-0.1869644,5.6037168,-94.0385517,39.6441742
12,"Accra","Leogane",788,-0.1869644,5.6037168,-72.623987,18.5128379
13,"Accra","Martinique",46,-0.1869644,5.6037168,-61.024174,14.641528
14,"Accra","Montego Bay",240,-0.1869644,5.6037168,-77.8938895,18.4762228
15,"Accra","Montevideo",144,-0.1869644,5.6037168,-56.1645314,-34.9011127
16,"Accra","Newcastle (Nevis)",216,-0.1869644,5.6037168,-62.588414,17.2025656
17,"Accra","Pernambuco",1,-0.1869644,5.6037168,-36.954107,-8.8137173
18,"Accra","Port-au-Prince",280,-0.1869644,5.6037168,-72.3074326,18.594395
19,"Accra","Saint-Marc",256,-0.1869644,5.6037168,-118.4201472,34.0589908
20,"Accra","Suriname",396,-0.1869644,5.6037168,-56.027783,3.919305
21,"Accra","Zion Hill",1,-0.1869644,5.6037168,-95.2126459,37.1924565
22,"Africa.","???",262,34.508523,-8.783195,NA,NA
23,"Africa.","Africa.",2,34.508523,-8.783195,34.508523,-8.783195
24,"Africa.","Alagoas province",500,34.508523,-8.783195,-36.7819505,-9.5713058
25,"Africa.","Amelia Island",256,34.508523,-8.783195,-81.460856,30.6265697
26,"Africa.","Americas",1954,34.508523,-8.783195,-105.2551187,54.5259614
27,"Africa.","Americas, region unspecified",272,34.508523,-8.783195,-105.2551187,54.5259614
28,"Africa.","Annapolis",777,34.508523,-8.783195,-76.4921829,38.9784453
29,"Africa.","Antigua",168,34.508523,-8.783195,-61.8175207,17.0746557
30,"Africa.","Antonia",136,34.508523,-8.783195,-90.4656776,38.3625546
31,"Africa.","Arcahaie",1,34.508523,-8.783195,-72.513088,18.7703377
32,"Africa.","Bacuranao",309,34.508523,-8.783195,-82.2398244,23.174483
33,"Africa.","Bahamas",2324,34.508523,-8.783195,-77.39628,25.03428
34,"Africa.","Bahia",36716,34.508523,-8.783195,-117.2470564,32.7722229
35,"Africa.","Bahia Honda",10139,34.508523,-8.783195,-81.2546366,24.6698814
36,"Africa.","Banes",3165,34.508523,-8.783195,-2.4766241,51.3250102
37,"Africa.","Baracoa",2,34.508523,-8.783195,-74.5023819,20.3474809
38,"Africa.","Barbados",82736,34.508523,-8.783195,-59.543198,13.193887
39,"Africa.","Basse-Terre",4335,34.508523,-8.783195,-61.7064109,16.0144526
40,"Africa.","Batabano",81,34.508523,-8.783195,-82.2936293,22.6875359
41,"Africa.","Berbice",43,34.508523,-8.783195,-57.9804325,5.3904374
42,"Africa.","Borburata",93,34.508523,-8.783195,-67.9613055,10.4410487
43,"Africa.","Boston",175,34.508523,-8.783195,-71.0588801,42.3600825
44,"Africa.","Bristol",15,34.508523,-8.783195,-72.9492703,41.6717648
45,"Africa.","British Americas",1,34.508523,-8.783195,-95.712891,37.09024
46,"Africa.","British Caribbean",868,34.508523,-8.783195,-76.7907214,17.9686962
47,"Africa.","British Honduras",1,34.508523,-8.783195,NA,NA
48,"Africa.","British Leewards",252,34.508523,-8.783195,NA,NA
49,"Africa.","Buenos Aires",5370,34.508523,-8.783195,-58.3815591,-34.6036844
50,"Africa.","Cabanas",7149,34.508523,-8.783195,-94.801843,39.737959
51,"Africa.","Cabo Frio",3,34.508523,-8.783195,-42.0354315,-22.8915403
52,"Africa.","Cadiz",3,34.508523,-8.783195,-6.2885962,36.5270612
53,"Africa.","Campos",1862,34.508523,-8.783195,-95.5944428,37.0400119
54,"Africa.","Canasi",1448,34.508523,-8.783195,-80.0739657,26.8360641
